A_Size	Time
100000	14.359291
150000	31.557217
200000	64.271309
250000	85.972382
300000	119.402046
350000	162.596710
400000	212.362183
450000	281.154144
500000	338.969940
550000	414.515594
600000	490.361877
650000	596.482056
700000	731.214233
750000	766.471375
800000	871.589355
850000	973.682861
900000	1092.123535
950000	1222.483154
1000000	1351.311035
